market,timeframe,ret_col,n_symbols,n_period_returns,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,positive_ratio,negative_ratio,gt_10_ratio,gt_20_ratio,gt_50_ratio,gt_100_ratio,lt_m10_ratio,lt_m20_ratio,lt_m50_ratio,iqr,p95_p05_spread
cn,W,close,5170,1404766,0.3085463429121994,6.84836996606141,-64.63119889681228,-15.257357497835491,-9.106824921411283,-6.630830866910205,-3.2692190410200745,-0.12477833209866998,3.0935655621349176,7.441770887663916,11.229830320092505,22.210706965626777,427.499998605373,0.4821201538192126,0.5056963223768229,0.061956938023841696,0.013326062846054075,0.0009218617193183776,2.6338906266239358e-05,0.038748802291627214,0.003345041095812399,4.271173989119896e-06,6.362784603154992,20.336655241503788
cn,W,high,5170,1404766,5.167889337980295,6.3816799082635605,-41.99330234220013,-1.8889319471514845,-0.0144439028551275,0.39062463620211,1.3938846380415475,3.3487293818812054,6.841337928963808,11.985642674755045,16.723800763960938,29.598736558793675,701.5000138150001,0.9391222452707426,0.05446529884692539,0.13954850843485678,0.0312564512523794,0.0015967072095993211,5.6237124190078635e-05,0.00035165999177087147,4.3423602222718946e-05,0.0,5.447453290922261,16.738244666816065
cn,W,low,5170,1404766,-4.0271629869903105,4.242942799496397,-65.13678721483942,-19.561239970358482,-12.086056785669022,-9.247066468783839,-5.619470563985045,-2.95063316285728,-1.2367472185338326,-0.27027000903735,0.20283912898994252,1.8146594822554492,329.3333265516493,0.06704319438255196,0.9263001809554047,0.0005289137123193472,2.4203319271679412e-05,1.4237246630399654e-06,7.118623315199827e-07,0.08219731969594936,0.009088346386515619,6.4067609836798446e-06,4.382723345451213,12.288895914658966
cn,M,close,5163,329043,1.2441150196310162,14.330895647187251,-71.50455894011708,-26.71100624603842,-17.10546485040146,-12.744986008844837,-6.5708421735187805,-0.19569187349547001,6.832293905863125,16.0628330737787,23.83065836110524,47.08880341550121,1083.4189872996449,0.48913363906845003,0.5055874156265291,0.18034117121470447,0.06988144406658096,0.008710107797461121,0.0012642724507131286,0.15362125922751738,0.03141230781387235,0.00012460377519047663,13.403136079381905,40.9361232115067
cn,M,high,5163,329043,12.326985003072307,14.502725180722486,-41.99330234220013,-0.4454309944153954,0.613496920408115,1.382478161935662,3.70370098000427,8.38323289177116,16.1431360388882,27.103830809699573,36.90166651994584,66.72282248503912,1172.4935389486157,0.9782946301851125,0.01955671447196871,0.42790759870290507,0.17798281683548958,0.022522892144795664,0.0028537303635087206,0.00030695076327410094,0.00010636907638211419,0.0,12.43943505888393,36.288169599537724
cn,M,low,5163,329043,-8.324399174725938,7.374566455857082,-72.92299973573462,-32.00815129701239,-22.74349533851432,-18.377841378588347,-12.103748635176736,-6.741575341340381,-2.588993609413645,-0.7017581673355741,-0.08563929799842605,1.076073239491184,83.85649639303698,0.040648182760307926,0.9553584182006607,0.0003312636950185842,2.127381527642284e-05,3.0391164680604056e-06,0.0,0.33521758554353076,0.07551900511483302,0.00018842522101974513,9.51475502576309,22.657856040515895
cn,Y,close,5044,26730,12.743296463510637,52.810244850398504,-82.73809501283202,-51.463055550556945,-37.904352311290346,-30.408768053643833,-16.067088175088994,2.1271106500037353,26.119391670055663,62.67821902540792,98.03479047079946,209.90958285712478,1820.5518930087521,0.528395061728395,0.4707818930041152,0.3982416760194538,0.2973812196034418,0.13434343434343435,0.048222970445192664,0.3300411522633745,0.2022072577628133,0.012383090160867938,42.18647984514466,135.93914278208982
cn,Y,high,5044,26730,52.806516841079485,66.66181836799207,-17.88856651497139,0.3328299307033364,2.358594486158541,5.292068612016603,14.770924380570955,33.2727017191692,66.41078770657381,119.24249145845336,166.6215058050247,314.4781150703278,1897.904689771928,0.9935278713056491,0.006322484100261878,0.8233071455293678,0.6701459034792369,0.34676393565282454,0.1352038907594463,7.482229704451927e-05,0.0,0.0,51.63986332600286,164.26291131886614
cn,Y,low,5044,26730,-25.275563058119495,15.569608752295252,-88.10467850246356,-61.96590258078906,-53.12476379688802,-47.788821326514714,-36.329973670101566,-22.84230833998801,-13.321939350182529,-6.187036966586952,-1.6473141604988202,-4.503441363601653e-06,12.629384039273939,0.0081556303778526,0.9908342686120464,0.00014964459408903854,0.0,0.0,0.0,0.8315750093527872,0.5787504676393566,0.07669285447063225,23.008034319919037,51.477449636389196
