market,timeframe,ret_col,bin,count,pct
tw,W,close,-100~-90%,1,1.5980618705633806e-06
tw,W,close,-90~-80%,0,0.0
tw,W,close,-80~-70%,0,0.0
tw,W,close,-70~-60%,2,3.1961237411267613e-06
tw,W,close,-60~-50%,14,2.237286618788733e-05
tw,W,close,-50~-40%,41,6.552053669309861e-05
tw,W,close,-40~-30%,136,0.00021733641439661977
tw,W,close,-30~-20%,1628,0.002601644725277184
tw,W,close,-20~-10%,13819,0.02208361698931536
tw,W,close,-10~0%,289118,0.4620284518935435
tw,W,close,0~10%,293615,0.46921493612546705
tw,W,close,10~20%,20738,0.03314060707174339
tw,W,close,20~30%,4560,0.0072871621297690165
tw,W,close,30~40%,1276,0.002039126946838874
tw,W,close,40~50%,423,0.0006759801712483101
tw,W,close,50~60%,175,0.00027966082734859164
tw,W,close,60~70%,94,0.0001502178158329578
tw,W,close,70~80%,22,3.5157361152394376e-05
tw,W,close,80~90%,19,3.0363175540704233e-05
tw,W,close,90~100%,19,3.0363175540704233e-05
tw,W,close,100%+,58,9.268758849267609e-05
tw,W,high,-100~-90%,0,0.0
tw,W,high,-90~-80%,0,0.0
tw,W,high,-80~-70%,0,0.0
tw,W,high,-70~-60%,0,0.0
tw,W,high,-60~-50%,0,0.0
tw,W,high,-50~-40%,1,1.5980618705633806e-06
tw,W,high,-40~-30%,0,0.0
tw,W,high,-30~-20%,4,6.3922474822535225e-06
tw,W,high,-20~-10%,155,0.000247699589937324
tw,W,high,-10~0%,51184,0.08179519878291608
tw,W,high,0~10%,515996,0.8245935329632222
tw,W,high,10~20%,44480,0.07108179200265917
tw,W,high,20~30%,9659,0.015435679607771695
tw,W,high,30~40%,2766,0.004420239133978311
tw,W,high,40~50%,871,0.0013919118892607046
tw,W,high,50~60%,282,0.0004506534474988734
tw,W,high,60~70%,170,0.0002716705179957747
tw,W,high,70~80%,38,6.0726351081408466e-05
tw,W,high,80~90%,33,5.273604172859156e-05
tw,W,high,90~100%,23,3.675542302295776e-05
tw,W,high,100%+,96,0.00015341393957408455
tw,W,low,-100~-90%,1,1.5980618705633806e-06
tw,W,low,-90~-80%,0,0.0
tw,W,low,-80~-70%,0,0.0
tw,W,low,-70~-60%,5,7.990309352816904e-06
tw,W,low,-60~-50%,75,0.00011985464029225355
tw,W,low,-50~-40%,93,0.0001486197539623944
tw,W,low,-40~-30%,407,0.000650411181319296
tw,W,low,-30~-20%,4258,0.006804547444858875
tw,W,low,-20~-10%,28071,0.04485919476858466
tw,W,low,-10~0%,517340,0.8267413281172594
tw,W,low,0~10%,75291,0.1203196762965875
tw,W,low,10~20%,130,0.00020774804317323948
tw,W,low,20~30%,21,3.3559299281830995e-05
tw,W,low,30~40%,11,1.7578680576197188e-05
tw,W,low,40~50%,5,7.990309352816904e-06
tw,W,low,50~60%,9,1.4382556835070426e-05
tw,W,low,60~70%,7,1.1186433093943666e-05
tw,W,low,70~80%,4,6.3922474822535225e-06
tw,W,low,80~90%,3,4.794185611690142e-06
tw,W,low,90~100%,5,7.990309352816904e-06
tw,W,low,100%+,22,3.5157361152394376e-05
tw,M,close,-100~-90%,1,6.862899849702493e-06
tw,M,close,-90~-80%,0,0.0
tw,M,close,-80~-70%,0,0.0
tw,M,close,-70~-60%,3,2.058869954910748e-05
tw,M,close,-60~-50%,15,0.0001029434977455374
tw,M,close,-50~-40%,63,0.00043236269053125706
tw,M,close,-40~-30%,454,0.003115756531764932
tw,M,close,-30~-20%,2504,0.017184701223655043
tw,M,close,-20~-10%,12974,0.08903926265004015
tw,M,close,-10~0%,57020,0.3913225494300362
tw,M,close,0~10%,51262,0.3518059720954492
tw,M,close,10~20%,12664,0.08691176369663238
tw,M,close,20~30%,4464,0.03063598492907193
tw,M,close,30~40%,1895,0.013005195215186225
tw,M,close,40~50%,968,0.006643287054512013
tw,M,close,50~60%,509,0.003493216023498569
tw,M,close,60~70%,324,0.0022235795513036076
tw,M,close,70~80%,202,0.0013863057696399037
tw,M,close,80~90%,122,0.0008372737816637042
tw,M,close,90~100%,78,0.0005353061882767945
tw,M,close,100%+,189,0.0012970880715937713
tw,M,high,-100~-90%,0,0.0
tw,M,high,-90~-80%,0,0.0
tw,M,high,-80~-70%,0,0.0
tw,M,high,-70~-60%,0,0.0
tw,M,high,-60~-50%,0,0.0
tw,M,high,-50~-40%,0,0.0
tw,M,high,-40~-30%,0,0.0
tw,M,high,-30~-20%,1,6.862899849702493e-06
tw,M,high,-20~-10%,7,4.8040298947917454e-05
tw,M,high,-10~0%,4454,0.030567355930574906
tw,M,high,0~10%,97262,0.6674993651817639
tw,M,high,10~20%,25944,0.1780510737006815
tw,M,high,20~30%,9364,0.06426419419261414
tw,M,high,30~40%,4040,0.027726115392798074
tw,M,high,40~50%,1921,0.01318363061127849
tw,M,high,50~60%,1015,0.006965843347448031
tw,M,high,60~70%,592,0.004062836711023876
tw,M,high,70~80%,379,0.002601039043037245
tw,M,high,80~90%,215,0.001475523467686036
tw,M,high,90~100%,147,0.0010088462779062665
tw,M,high,100%+,370,0.0025392729443899226
tw,M,low,-100~-90%,1,6.862899849702493e-06
tw,M,low,-90~-80%,0,0.0
tw,M,low,-80~-70%,0,0.0
tw,M,low,-70~-60%,14,9.608059789583491e-05
tw,M,low,-60~-50%,91,0.0006245238863229269
tw,M,low,-50~-40%,363,0.002491232645442005
tw,M,low,-40~-30%,1563,0.010726712465084998
tw,M,low,-30~-20%,6528,0.04480101021885788
tw,M,low,-20~-10%,25561,0.17542258305824543
tw,M,low,-10~0%,103390,0.7095552154607407
tw,M,low,0~10%,8175,0.05610420627131788
tw,M,low,10~20%,18,0.00012353219729464488
tw,M,low,20~30%,2,1.3725799699404987e-05
tw,M,low,30~40%,1,6.862899849702493e-06
tw,M,low,40~50%,0,0.0
tw,M,low,50~60%,0,0.0
tw,M,low,60~70%,0,0.0
tw,M,low,70~80%,0,0.0
tw,M,low,80~90%,2,1.3725799699404987e-05
tw,M,low,90~100%,1,6.862899849702493e-06
tw,M,low,100%+,1,6.862899849702493e-06
tw,Y,close,-100~-90%,1,8.361903169161301e-05
tw,Y,close,-90~-80%,0,0.0
tw,Y,close,-80~-70%,10,0.0008361903169161301
tw,Y,close,-70~-60%,47,0.003930094489505811
tw,Y,close,-60~-50%,139,0.011623045405134208
tw,Y,close,-50~-40%,294,0.024583995317334226
tw,Y,close,-40~-30%,620,0.051843799648800065
tw,Y,close,-30~-20%,985,0.08236474621623882
tw,Y,close,-20~-10%,1352,0.11305293084706079
tw,Y,close,-10~0%,1741,0.14558073417509826
tw,Y,close,0~10%,1727,0.14441006773141568
tw,Y,close,10~20%,1211,0.10126264737854336
tw,Y,close,20~30%,843,0.07049084371602977
tw,Y,close,30~40%,621,0.05192741868049168
tw,Y,close,40~50%,446,0.037294088134459405
tw,Y,close,50~60%,351,0.029350280123756168
tw,Y,close,60~70%,277,0.023162471778576804
tw,Y,close,70~80%,244,0.020403043732753576
tw,Y,close,80~90%,177,0.014800568609415502
tw,Y,close,90~100%,128,0.010703236056526465
tw,Y,close,100%+,745,0.06229617861025169
tw,Y,high,-100~-90%,0,0.0
tw,Y,high,-90~-80%,0,0.0
tw,Y,high,-80~-70%,0,0.0
tw,Y,high,-70~-60%,0,0.0
tw,Y,high,-60~-50%,0,0.0
tw,Y,high,-50~-40%,0,0.0
tw,Y,high,-40~-30%,0,0.0
tw,Y,high,-30~-20%,0,0.0
tw,Y,high,-20~-10%,1,8.361903169161301e-05
tw,Y,high,-10~0%,76,0.006355046408562589
tw,Y,high,0~10%,2881,0.2409064303035371
tw,Y,high,10~20%,1922,0.1607157789112802
tw,Y,high,20~30%,1465,0.12250188142821306
tw,Y,high,30~40%,1130,0.0944895058115227
tw,Y,high,40~50%,807,0.0674805585751317
tw,Y,high,50~60%,586,0.04900075257128522
tw,Y,high,60~70%,486,0.04063884940212392
tw,Y,high,70~80%,385,0.03219332720127101
tw,Y,high,80~90%,308,0.025754661761016807
tw,Y,high,90~100%,269,0.0224935195250439
tw,Y,high,100%+,1643,0.1373860690693202
tw,Y,low,-100~-90%,1,8.361903169161301e-05
tw,Y,low,-90~-80%,7,0.000585333221841291
tw,Y,low,-80~-70%,23,0.0019232377289070993
tw,Y,low,-70~-60%,142,0.011873902500209048
tw,Y,low,-60~-50%,441,0.03687599297600134
tw,Y,low,-50~-40%,1177,0.09841960030102852
tw,Y,low,-40~-30%,1738,0.1453298770800234
tw,Y,low,-30~-20%,2143,0.1791955849151267
tw,Y,low,-20~-10%,2479,0.20729157956350866
tw,Y,low,-10~0%,3627,0.3032862279454804
tw,Y,low,0~10%,181,0.015135044736181954
tw,Y,low,10~20%,0,0.0
tw,Y,low,20~30%,0,0.0
tw,Y,low,30~40%,0,0.0
tw,Y,low,40~50%,0,0.0
tw,Y,low,50~60%,0,0.0
tw,Y,low,60~70%,0,0.0
tw,Y,low,70~80%,0,0.0
tw,Y,low,80~90%,0,0.0
tw,Y,low,90~100%,0,0.0
