market,timeframe,ret_col,n_symbols,n_period_returns,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,positive_ratio,negative_ratio,gt_10_ratio,gt_20_ratio,gt_50_ratio,gt_100_ratio,lt_m10_ratio,lt_m20_ratio,lt_m50_ratio,iqr,p95_p05_spread
hk,W,close,2605,732429,0.28334511146015495,13.018207831710795,-99.05511808783228,-21.05263668354713,-11.645486142702874,-8.040203122939046,-3.5131711460742503,0.0,2.6548624945955597,8.124990373639259,13.53711267555224,33.333330021964294,3900.0002483527114,0.3880853980385812,0.4633404739572027,0.07691120914109081,0.026036653382102565,0.004214742998980106,0.0009024765540414156,0.06794788300299415,0.011760866923619901,0.0006594495848744384,6.16803364066981,25.182598818255116
hk,W,high,2605,732429,6.023229059091428,23.494072080613705,-97.50000015522045,-5.1724286516939495,-1.23456672022499,0.0,0.0,2.68138915145852,7.088983263990981,14.391144888786773,22.2222167032738,53.70369361242546,11664.70575860628,0.7272663971524885,0.08700775092193236,0.16674244192952492,0.05925762087519746,0.011464592472444428,0.002949091311239724,0.002341523888322281,0.00020206736762198112,1.774916066949834e-05,7.088983263990981,23.45678342349879
hk,W,low,2605,732429,-5.441300548269922,7.969876189246551,-99.34272297835363,-28.571427355007227,-17.47572738282226,-13.333329608042929,-7.94391393979616,-3.7974745061265303,-1.0245874631157,0.0,5.383792380797484e-06,3.703691504963978,3092.7708490221107,0.054080327239909944,0.8132310435550749,0.0019838100348293147,0.00028125593060897373,5.597812211149477e-05,2.7306401029997448e-05,0.17563067546478908,0.03346399446226187,0.0014363166941778658,6.91932647668046,17.47573276661464
hk,M,close,2593,168333,1.0670950705859943,27.332061811881086,-99.0733590345962,-38.847286713897354,-22.727271495771813,-16.504850660847712,-8.08080631717715,-1.01010197564063,5.76923285709063,18.004556532942935,30.593227589670523,77.20200978324428,3900.0002483527114,0.4098364551216933,0.5243238105421991,0.17598450690001366,0.0880991843548205,0.022342618500234654,0.006035655516149537,0.20344792761965866,0.06728330155109218,0.004170305287733243,13.85003917426778,53.320499085442336
hk,M,high,2593,168333,16.17076558145789,45.0205074792058,-80.74324413578904,-2.8571401810159,0.0,0.0,2.4096434859411002,7.5688210712227795,17.341032911093478,35.91471714815266,56.439498650922175,139.99999659402025,5741.666987972966,0.8648571581329864,0.03730700456832588,0.4136206210309327,0.21299448117719044,0.06077833817492708,0.018273303511492103,0.0012297054053572384,9.504969316770924e-05,1.7821817468945482e-05,14.931389425152378,56.439498650922175
hk,M,low,2593,168333,-11.269744527745377,12.936996077625453,-99.34272297835363,-49.41189281408298,-31.57894901951927,-24.99998950836923,-15.96638723859575,-8.734947741194569,-3.6363672756329297,-0.52631194655552,0.0,1.63934270402046,2727.3091610320694,0.027160449822672916,0.9145919100829902,0.0009029720850932378,0.0001900993863354185,7.128726987578193e-05,4.158424076087279e-05,0.44544444642464637,0.16536864429434514,0.009392097806134269,12.33001996296282,31.57894901951927
hk,Y,close,2501,13799,10.540109558941044,114.87364424376497,-98.99999996026357,-84.53244785688102,-65.57639501974867,-53.3333338410766,-31.95036054274923,-8.29268526704735,20.957681527698053,71.8109041252926,130.68859333139892,397.25715237597603,4164.150975755461,0.4012609609391985,0.5875788100586999,0.3172693673454598,0.25501847959997104,0.14131458801362418,0.07015001087035293,0.481266758460758,0.373577795492427,0.11660265236611349,52.90804207044728,196.2649883511476
hk,Y,high,2501,13799,81.52601999548925,195.1800284243515,-80.74324413578904,-1.0492406471731166,0.7683645085546728,3.4336444878610273,12.000005639857577,33.63291126717391,80.54093091345499,180.79517302565688,293.46005317422953,750.3726386115125,6566.666401757147,0.9588375969273135,0.015580839191245742,0.782955286614972,0.6377998405681571,0.38263642292919775,0.203130661642148,0.0009420972534241611,0.000289876077976665,0.0001449380389883325,68.54092527359741,292.69168866567486
hk,Y,low,2501,13799,-34.792206125101195,22.52692349488759,-99.29999999701977,-90.0000000054186,-76.58904300198797,-67.04113339059138,-50.0,-32.28346432578697,-16.516065278122095,-6.923630056984121,-2.993569511658085,0.0,61.16504340181235,0.005507645481556634,0.9810131168925285,0.0004348141169649975,0.0001449380389883325,7.246901949416625e-05,0.0,0.853974925719255,0.6926588883252409,0.24893108196246105,33.4839347218779,73.5954734903299
