rank,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
4,UK,SYME.L,2022,250,2022-01-04,2022-12-30,0.0626000016927719,0.0844999998807907,0.0939880000054836,0.1738999933004379,250,1.0,0,0,1,1,32,180,0,0,1,1,5,67,0,0,0,0,3,24,0,0,0,0,1,2,0,0,0,0,0,0
5,UK,ZCC.L,2022,250,2022-01-04,2022-12-30,0.1492481231689453,0.1492481231689453,0.1492481231689453,0.1492481231689453,250,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,UK,JHDA.L,2022,250,2022-01-04,2022-12-30,0.8367049694061279,0.8601241111755371,0.8528724086284637,0.8841988444328308,250,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,UK,SRES.L,2022,250,2022-01-04,2022-12-30,0.0949999988079071,0.125,0.1374239993095397,0.2249999940395355,250,1.0,0,0,0,0,12,110,0,0,0,0,3,20,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0
8,UK,BUCE.L,2022,250,2022-01-04,2022-12-30,0.2399999946355819,0.3350000083446502,0.3842039978504181,0.7250000238418579,250,1.0,0,1,0,1,9,41,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,UK,SPMU.L,2022,122,2022-07-08,2022-12-30,0.0274999998509883,0.0274999998509883,0.0375614755130448,0.0700000002980232,122,1.0,0,0,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,UK,SNDA.L,2022,250,2022-01-04,2022-12-30,0.0649999976158142,0.0764999985694884,0.0944320002794265,0.2939999997615814,250,1.0,0,2,1,3,31,207,0,1,0,1,10,71,0,1,0,1,5,23,0,0,0,0,2,8,0,0,0,0,0,1
1,UK,46IE.L,2023,251,2023-01-03,2023-12-29,0.7185766100883484,0.7787365913391113,0.7662009036398504,0.8038031458854675,251,1.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,UK,47HA.L,2023,251,2023-01-03,2023-12-29,0.6948602795600891,0.7634884715080261,0.7541182668085592,0.8010369539260864,251,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,UK,ROC.L,2023,251,2023-01-03,2023-12-29,0.0474999994039535,0.0474999994039535,0.0474999994039535,0.0474999994039535,251,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
