rank,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
10,US,LUCYW,2022,97,2022-08-15,2022-12-30,0.0939999967813491,0.4399999976158142,0.437226801419381,0.915000021457672,97,1.0,1,24,21,45,44,60,0,19,11,30,24,51,0,13,7,20,10,41,0,1,1,2,0,25,0,1,0,1,0,8
1,US,SVA,2023,250,2023-01-03,2023-12-29,-48.53000259399414,-48.53000259399414,-48.53000259399414,-48.53000259399414,250,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,US,LUCYW,2023,250,2023-01-03,2023-12-29,0.0509999990463256,0.1845000013709068,0.2452879998087882,0.9900000095367432,250,1.0,33,40,55,95,89,99,0,22,31,53,47,86,0,20,12,32,18,64,0,10,1,11,5,49,0,3,0,3,2,18
3,US,MNYWW,2023,250,2023-01-03,2023-12-29,0.0179999992251396,0.1925000026822089,0.1797920000180601,0.4000000059604645,250,1.0,43,37,22,59,81,167,5,5,3,8,32,96,2,1,0,1,14,51,1,1,0,1,3,20,0,1,0,1,2,3
4,US,TMCWW,2023,250,2023-01-03,2023-12-29,0.0630000010132789,0.125,0.1386520004570484,0.4900000095367431,250,1.0,57,70,21,91,82,200,0,24,4,28,33,122,0,7,3,10,12,57,0,0,0,0,2,20,0,0,0,0,0,3
5,US,CANG,2023,250,2023-01-03,2023-12-29,0.4650000035762787,0.5799999833106995,0.5967999979257583,0.7400000095367432,250,1.0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,US,TMQ,2023,250,2023-01-03,2023-12-29,0.4000000059604645,0.5299999713897705,0.5275199981927872,0.8100000023841858,250,1.0,0,2,0,2,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,US,GAU,2023,250,2023-01-03,2023-12-29,0.4699999988079071,0.6000000238418579,0.6053199976682663,0.9800000190734864,250,1.0,0,0,0,0,1,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,US,UAMY,2023,250,2023-01-03,2023-12-29,0.2300000041723251,0.3600000143051147,0.3626000003814697,0.4900000095367431,250,1.0,0,0,1,1,3,25,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,US,GRABW,2023,250,2023-01-03,2023-12-29,0.135000005364418,0.449999988079071,0.4328319998979568,0.7979999780654907,250,1.0,0,17,11,28,37,95,0,0,3,3,5,20,0,0,2,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0
10,US,VGZ,2023,250,2023-01-03,2023-12-29,0.3000000119209289,0.5199999809265137,0.5089999979734421,0.75,250,1.0,0,1,0,1,5,30,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,US,ITP,2024,252,2024-01-02,2024-12-31,0.2000000029802322,0.2399999946355819,0.2523809528303525,0.6000000238418579,252,1.0,0,3,5,8,16,108,0,1,0,1,3,17,0,1,0,1,1,10,0,1,0,1,1,2,0,1,0,1,1,0
2,US,MSN,2024,252,2024-01-02,2024-12-31,0.4000000059604645,0.5199999809265137,0.509404758730578,0.5899999737739563,252,1.0,0,3,2,5,5,19,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1
3,US,NAK,2024,252,2024-01-02,2024-12-31,0.2300000041723251,0.3300000131130218,0.3443650803159153,0.5799999833106995,252,1.0,0,1,1,2,14,37,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
4,US,TII,2024,252,2024-01-02,2024-12-31,0.2115000039339065,0.3052500039339065,0.3069226197780125,0.4244999885559082,252,1.0,0,9,14,23,30,26,0,1,0,1,1,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,US,THM,2024,252,2024-01-02,2024-12-31,0.4099999964237213,0.5550000071525574,0.5631349186102549,0.800000011920929,252,1.0,0,1,0,1,17,52,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,US,MOBBW,2024,252,2024-01-02,2024-12-31,0.2599000036716461,0.2599000036716461,0.2599000036716461,0.2599000036716461,252,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,US,GITS,2024,252,2024-01-02,2024-12-31,0.1850000023841858,0.2800000011920929,0.3483333325102216,0.9399999976158142,252,1.0,0,8,3,11,38,112,0,0,1,1,10,31,0,0,1,1,5,14,0,0,0,0,2,7,0,0,0,0,1,2
8,US,MNYWW,2024,252,2024-01-02,2024-12-31,0.0289999991655349,0.0649999976158142,0.0655357143250367,0.1299999952316284,252,1.0,217,27,43,70,109,152,91,8,15,23,41,108,23,5,2,7,18,69,0,2,0,2,4,18,0,0,0,0,0,1
9,US,LUCYW,2024,252,2024-01-02,2024-12-31,0.0289999991655349,0.0590000003576278,0.0652500000664047,0.210999995470047,252,1.0,224,45,34,79,103,117,87,33,18,51,62,93,8,21,9,30,30,68,0,9,2,11,9,41,0,0,0,0,3,7
10,US,TBMCR,2024,252,2024-01-02,2024-12-31,0.0700000002980232,0.1469999998807907,0.1474285717048342,0.2440000027418136,252,1.0,41,20,34,54,56,43,0,13,21,34,41,24,0,9,13,22,27,17,0,4,1,5,6,10,0,0,0,0,1,0
1,US,APLMW,2025,250,2025-01-02,2025-12-31,0.0260000005364418,0.0260000005364418,0.0260000005364418,0.0260000005364418,250,1.0,250,0,0,0,0,0,250,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,US,RYDE,2025,250,2025-01-02,2025-12-31,0.1759999990463256,0.3379999995231628,0.3539359998106956,0.6000000238418579,250,1.0,0,4,9,13,21,117,0,2,0,2,7,24,0,1,0,1,3,6,0,1,0,1,1,2,0,1,0,1,1,1
3,US,XPL,2025,250,2025-01-02,2025-12-31,0.550000011920929,0.6600000262260437,0.6678799996376038,0.8399999737739563,250,1.0,0,0,0,0,3,22,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,US,OPENL,2025,6,2025-12-23,2025-12-31,0.4950000047683716,0.5429999828338623,0.559333324432373,0.6579999923706055,6,1.0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,US,RNWWW,2025,250,2025-01-02,2025-12-31,0.0049999998882412,0.1169999986886978,0.103664000481367,0.2479999959468841,250,1.0,113,31,62,93,90,141,58,13,21,34,39,90,55,9,2,11,19,59,50,6,0,6,8,26,21,1,0,1,1,9
6,US,IINNW,2025,250,2025-01-02,2025-12-31,0.1800000071525573,0.2800000011920929,0.3065079996585846,0.6499999761581421,250,1.0,0,22,30,52,79,107,0,9,7,16,30,75,0,3,2,5,10,49,0,0,0,0,3,23,0,0,0,0,1,7
7,US,DNMXW,2025,6,2025-12-23,2025-12-31,0.3499999940395355,0.3590000122785568,0.3610000063975652,0.3700000047683716,6,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,US,IGACR,2025,7,2025-12-22,2025-12-31,0.1899999976158142,0.1899999976158142,0.1942857142005647,0.2000000029802322,7,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,US,RNGTW,2025,6,2025-12-23,2025-12-31,0.3160000145435333,0.3199999928474426,0.3223333358764648,0.3300000131130218,6,1.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,US,CCGWW,2025,250,2025-01-02,2025-12-31,0.0199999995529651,0.0294999992474913,0.0308640001043676,0.0540000014007091,250,1.0,250,28,44,72,76,91,248,13,16,29,31,62,187,4,6,10,11,39,12,1,0,1,2,16,0,0,0,0,0,0
