rank,market,year,symbol,n_days,penny_days,penny_day_ratio,min_close,median_close,mean_close,max_close,one_tick_ge_10_days,one_tick_ge_20_days,one_tick_ge_30_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days
6,KR,2025,245620.KQ,241,241,1.0,415.0,415.0,415.0,415.0,0,0,0,0,0,0
7,KR,2025,258830.KQ,241,241,1.0,412.0,412.0,412.0,412.0,0,0,0,0,0,0
8,KR,2025,317240.KQ,241,241,1.0,197.0,239.0,245.448132780083,350.0,0,0,0,1,8,41
9,KR,2025,198940.KQ,242,242,1.0,625.0,739.0,738.9752066115702,853.0,0,0,0,0,0,3
10,KR,2025,215790.KQ,242,242,1.0,420.0,462.0,484.5413223140496,782.0,0,0,0,0,8,22
1,TH,2025,WINDOW.BK,242,242,1.0,0.6159999966621399,0.7400000095367432,0.7552437937456714,0.9900000095367432,0,0,0,0,7,20
2,TH,2025,WSOL.BK,153,153,1.0,0.2199999988079071,0.2899999916553497,0.2998692800406537,0.4199999868869781,0,0,0,1,3,24
3,TH,2025,WIN.BK,242,242,1.0,0.3000000119209289,0.3799999952316284,0.3742561963471499,0.4399999976158142,0,0,0,3,1,25
4,TH,2025,GSTEEL.BK,242,242,1.0,0.0900000035762786,0.0900000035762786,0.0900000035762786,0.0900000035762786,242,0,0,0,0,0
5,TH,2025,GRAND.BK,242,242,1.0,0.0199999995529651,0.0399999991059303,0.0406611567086054,0.0599999986588954,242,157,75,79,88,221
6,TH,2025,GJS.BK,242,242,1.0,0.1000000014901161,0.1299999952316284,0.1323553708589766,0.1599999964237213,0,0,0,1,10,32
7,TH,2025,GENCO.BK,242,242,1.0,0.2300000041723251,0.2750000059604645,0.2907024783290122,0.4300000071525574,0,0,0,3,3,28
8,TH,2025,HPT.BK,242,242,1.0,0.3300000131130218,0.3700000047683716,0.3754570294510234,0.4467088878154754,0,0,0,0,1,2
9,TH,2025,HEALTH.BK,242,242,1.0,0.2199999988079071,0.3550000041723251,0.3565289243932598,0.6399999856948853,0,0,0,8,24,122
10,TH,2025,FN.BK,242,242,1.0,0.4000000059604645,0.5099999904632568,0.5259090886135732,0.7599999904632568,0,0,0,2,5,48
1,TW,2025,1108.TW,242,242,1.0,12.106060981750488,14.337374687194824,14.409796328584024,15.550000190734863,0,0,0,0,0,0
2,TW,2025,1110.TW,242,242,1.0,16.149999618530273,18.0,18.160608078822616,20.61390495300293,0,0,0,0,0,0
3,TW,2025,9962.TWO,242,242,1.0,10.050000190734863,12.050000190734863,12.383008113577349,15.608759880065918,0,0,0,1,2,1
4,TW,2025,9934.TW,242,242,1.0,9.510000228881836,10.275376319885254,10.91484359079156,14.279397010803224,0,0,0,0,0,0
5,TW,2025,1201.TW,242,242,1.0,14.550000190734863,15.600000381469728,15.90636624186492,17.58281135559082,0,0,0,0,0,0
6,TW,2025,1103.TW,242,242,1.0,12.850000381469728,14.050000190734863,14.394191580370435,16.745452880859375,0,0,0,1,1,0
7,TW,2025,3373.TWO,242,242,1.0,14.409090042114258,19.049999237060547,19.458207552098045,28.0,0,0,0,1,2,4
8,TW,2025,3372.TWO,242,242,1.0,10.100000381469728,14.5,15.082024826491176,23.700000762939453,0,0,0,0,1,11
9,TW,2025,3360.TWO,242,242,1.0,10.199999809265137,12.75,12.909297513567711,16.149999618530273,0,0,0,0,0,3
10,TW,2025,3437.TW,242,242,1.0,13.050000190734863,15.399999618530272,16.410330575359755,23.25,0,0,0,0,0,1
1,UK,2025,ADME.L,253,253,1.0,0.0005499999970197,0.0005499999970197,0.0754051382392055,0.3499999940395355,130,130,130,3,22,61
