rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
10,10,abs_gap_ge,CA,GT.V,2025,251,2025-01-02,2025-12-31,0.0199999995529651,0.0299999993294477,0.0302788843641955,0.0549999997019767,251,1.0,251,40,47,87,85,149,240,9,15,24,33,57,176,0,0,0,3,15,20,0,0,0,1,5,0,0,0,0,0,1
1,10,abs_gap_ge,CN,688585.SS,2025,243,2025-01-02,2025-12-31,6.074306964874268,7.996177673339844,49.94054891248789,132.1300048828125,0,0.0,0,11,3,14,31,38,0,5,1,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,abs_gap_ge,CN,002969.SZ,2025,243,2025-01-02,2025-12-31,2.7950830459594727,3.489593029022217,3.7138345800800088,12.65999984741211,232,0.9547325102880658,0,10,0,10,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,abs_gap_ge,CN,605255.SS,2025,243,2025-01-02,2025-12-31,11.707030296325684,20.573204040527344,50.25284194161372,218.0200042724609,0,0.0,0,9,1,10,18,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,abs_gap_ge,CN,300344.SZ,2025,243,2025-01-02,2025-12-31,1.0199999809265137,4.96999979019165,5.821522635687526,14.279999732971191,122,0.5020576131687243,0,2,7,9,33,62,0,0,2,2,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,abs_gap_ge,CN,001331.SZ,2025,243,2025-01-02,2025-12-31,7.400000095367432,10.33571434020996,12.123362566708538,46.310001373291016,0,0.0,0,9,0,9,11,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,abs_gap_ge,CN,605398.SS,2025,243,2025-01-02,2025-12-31,17.77179527282715,30.440000534057617,30.880297068215203,52.67567825317383,0,0.0,0,9,0,9,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_gap_ge,CN,002691.SZ,2025,243,2025-01-02,2025-12-31,4.659999847412109,8.430000305175781,8.611028816474319,13.739999771118164,8,0.0329218106995884,0,5,2,7,16,26,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,abs_gap_ge,CN,603177.SS,2025,243,2025-01-02,2025-12-31,6.830399036407471,9.230000495910645,9.699696882271471,15.949999809265137,0,0.0,0,6,1,7,9,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,abs_gap_ge,CN,002910.SZ,2025,243,2025-01-02,2025-12-31,6.710000038146973,9.600000381469728,9.69950616114424,15.020000457763672,0,0.0,0,6,1,7,15,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_gap_ge,CN,300561.SZ,2025,243,2025-01-02,2025-12-31,11.010000228881836,15.489999771118164,22.96953184418227,63.439971923828125,0,0.0,0,0,7,7,16,29,0,0,2,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10,abs_gap_ge,FR,ALIBR.PA,2025,255,2025-01-02,2025-12-31,9.999999747378752e-05,0.0003000000142492,0.0003176470626117,0.0006000000284984,255,1.0,255,59,42,101,93,222,255,57,42,99,92,217,255,48,20,68,58,181,255,29,0,29,25,118,255,0,0,0,1,14
2,10,abs_gap_ge,FR,ALBOO.PA,2025,255,2025-01-02,2025-12-31,2.0,12.0,94.92941176470588,1400.0,0,0.0,0,36,59,95,104,224,0,16,30,46,43,168,0,13,26,39,27,138,0,8,21,29,17,94,0,2,0,2,6,54
3,10,abs_gap_ge,FR,MLSEQ.PA,2025,255,2025-01-02,2025-12-31,0.003000000026077,0.0070000002160668,0.0070274509270401,0.0104999998584389,255,1.0,255,35,45,80,81,25,255,15,19,34,31,12,255,7,7,14,12,6,255,0,1,1,0,2,239,0,0,0,0,1
4,10,abs_gap_ge,FR,MLFTI.PA,2025,255,2025-01-02,2025-12-31,0.0160000007599592,0.0299999993294477,0.0319352943011942,0.0555000007152557,255,1.0,255,37,39,76,73,31,247,15,8,23,23,17,149,8,3,11,8,5,1,2,0,2,1,0,0,0,0,0,0,0
5,10,abs_gap_ge,FR,MLCOT.PA,2025,255,2025-01-02,2025-12-31,0.0049999998882412,0.125,0.1149803920046371,0.4020000100135803,255,1.0,112,44,29,73,77,20,89,30,17,47,46,11,56,22,10,32,33,8,23,9,2,11,12,3,5,1,0,1,1,0
6,10,abs_gap_ge,FR,ALALO.PA,2025,255,2025-01-02,2025-12-31,0.0627999976277351,0.6000000238418579,9.63523843858172,300.0,182,0.7137254901960784,10,45,22,67,107,233,0,38,10,48,63,182,0,33,4,37,28,137,0,14,4,18,12,75,0,10,0,10,6,29
7,10,abs_gap_ge,FR,MLSML.PA,2025,255,2025-01-02,2025-12-31,0.0049999998882412,0.0189999993890523,0.0215784314252873,0.050000000745058,255,1.0,255,35,27,62,58,34,254,26,14,40,35,27,223,16,4,20,19,20,152,7,1,8,7,9,3,1,0,1,2,1
8,10,abs_gap_ge,FR,ALVER.PA,2025,255,2025-01-02,2025-12-31,0.7599999904632568,3.8000009059906006,4.115922518337475,15.20000457763672,50,0.196078431372549,0,26,36,62,66,187,0,8,9,17,32,136,0,5,4,9,13,91,0,4,2,6,5,48,0,0,0,0,1,16
9,10,abs_gap_ge,FR,MLOCT.PA,2025,255,2025-01-02,2025-12-31,0.0920000001788139,0.1949999928474426,0.2229999998913091,0.5,255,1.0,2,30,29,59,54,14,0,12,10,22,21,4,0,5,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_gap_ge,FR,MLWEY.PA,2025,255,2025-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.0156882353053957,0.0320000015199184,255,1.0,255,34,23,57,65,22,255,29,16,45,51,18,255,19,4,23,30,12,219,8,2,10,7,6,47,2,0,2,2,0
1,10,abs_gap_ge,HK,8286.HK,2025,246,2025-01-02,2025-12-31,0.0460000000894069,0.1080000028014183,0.1088455278668703,0.1689999997615814,246,1.0,0,20,22,42,47,31,0,4,3,7,17,20,0,3,1,4,6,9,0,0,0,0,1,5,0,0,0,0,0,2
2,10,abs_gap_ge,HK,8280.HK,2025,246,2025-01-02,2025-12-31,0.0320000015199184,0.061999998986721,0.0667195124778805,0.1180000007152557,246,1.0,0,27,12,39,50,69,0,11,1,12,10,26,0,4,0,4,2,16,0,0,0,0,0,4,0,0,0,0,0,0
