rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
8,10,range_ge,CA,CELL.V,2025,251,2025-01-02,2025-12-31,0.0199999995529651,0.0350000001490116,0.0362191234837727,0.1199999973177909,251,1.0,250,38,46,84,112,144,223,5,10,15,22,56,115,0,0,0,3,23,10,0,0,0,1,5,0,0,0,0,0,0
9,10,range_ge,CA,FT.TO,2025,251,2025-01-02,2025-12-31,0.0399999991059303,0.0799999982118606,0.0737051798320148,0.1199999973177909,251,1.0,223,29,28,57,63,140,8,4,6,10,11,31,0,0,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0
10,10,range_ge,CA,MATA.V,2025,251,2025-01-02,2025-12-31,0.135000005364418,0.4250000119209289,0.5075597619392958,1.7999999523162842,227,0.904382470119522,0,7,1,8,56,138,0,0,0,0,13,40,0,0,0,0,6,15,0,0,0,0,1,5,0,0,0,0,0,0
1,10,range_ge,CN,688205.SS,2025,243,2025-01-02,2025-12-31,34.656253814697266,68.6466293334961,81.05747624777963,174.5500030517578,0,0.0,0,2,0,2,27,69,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,range_ge,CN,300344.SZ,2025,243,2025-01-02,2025-12-31,1.0199999809265137,4.96999979019165,5.821522635687526,14.279999732971191,122,0.5020576131687243,0,2,7,9,33,62,0,0,2,2,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,range_ge,CN,301357.SZ,2025,243,2025-01-02,2025-12-31,27.38999938964844,80.0,87.32000033845627,185.509994506836,0,0.0,0,0,2,2,29,60,0,0,0,0,4,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,10,range_ge,CN,300204.SZ,2025,243,2025-01-02,2025-12-31,6.269999980926514,30.1200008392334,26.63839511518125,61.0,0,0.0,0,0,0,0,18,59,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,range_ge,CN,605188.SS,2025,243,2025-01-02,2025-12-31,6.574718952178955,11.949999809265137,13.847921805126678,27.229999542236328,0,0.0,0,1,0,1,22,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,range_ge,CN,300963.SZ,2025,243,2025-01-02,2025-12-31,5.848886013031006,19.170000076293945,16.663011998306086,26.3799991607666,0,0.0,0,0,1,1,15,53,0,0,0,0,6,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,10,range_ge,CN,688313.SS,2025,243,2025-01-02,2025-12-31,13.777548789978027,38.04999923706055,47.63969366050061,109.0,0,0.0,0,2,1,3,25,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,range_ge,CN,688195.SS,2025,243,2025-01-02,2025-12-31,30.73994445800781,45.99015426635742,74.30744042416168,196.6000061035156,0,0.0,0,3,0,3,14,53,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,range_ge,CN,301225.SZ,2025,243,2025-01-02,2025-12-31,24.302494049072266,79.17204284667969,69.396746199808,165.5,0,0.0,0,0,2,2,16,53,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,range_ge,CN,300584.SZ,2025,243,2025-01-02,2025-12-31,16.362184524536133,36.959999084472656,38.74087504791135,77.87999725341797,0,0.0,0,1,0,1,17,52,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,range_ge,FR,ALALO.PA,2025,255,2025-01-02,2025-12-31,0.0627999976277351,0.6000000238418579,9.63523843858172,300.0,182,0.7137254901960784,10,45,22,67,107,233,0,38,10,48,63,182,0,33,4,37,28,137,0,14,4,18,12,75,0,10,0,10,6,29
2,10,range_ge,FR,ALNEV.PA,2025,255,2025-01-02,2025-12-31,0.0020000000949949,2.200000047683716,83.52042727139778,1200.199951171875,108,0.4235294117647059,52,24,12,36,94,227,45,4,2,6,23,123,37,3,1,4,9,60,27,3,0,3,5,13,11,1,0,1,3,5
3,10,range_ge,FR,ALBOO.PA,2025,255,2025-01-02,2025-12-31,2.0,12.0,94.92941176470588,1400.0,0,0.0,0,36,59,95,104,224,0,16,30,46,43,168,0,13,26,39,27,138,0,8,21,29,17,94,0,2,0,2,6,54
4,10,range_ge,FR,ALIBR.PA,2025,255,2025-01-02,2025-12-31,9.999999747378752e-05,0.0003000000142492,0.0003176470626117,0.0006000000284984,255,1.0,255,59,42,101,93,222,255,57,42,99,92,217,255,48,20,68,58,181,255,29,0,29,25,118,255,0,0,0,1,14
5,10,range_ge,FR,ALVER.PA,2025,255,2025-01-02,2025-12-31,0.7599999904632568,3.8000009059906006,4.115922518337475,15.20000457763672,50,0.196078431372549,0,26,36,62,66,187,0,8,9,17,32,136,0,5,4,9,13,91,0,4,2,6,5,48,0,0,0,0,1,16
