rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
7,10,abs_ret_ge,CA,CSTR.V,2025,251,2025-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.0160756969297548,0.0299999993294477,251,1.0,251,58,42,100,90,185,251,55,41,96,86,174,251,51,12,63,54,157,228,22,7,29,18,67,51,5,0,5,4,24
8,10,abs_ret_ge,CA,AISX.V,2025,230,2025-01-02,2025-12-31,0.0149999996647238,0.0299999993294477,0.0309130433339463,0.0599999986588954,230,1.0,230,44,37,81,90,135,219,13,14,27,33,68,145,2,1,3,9,35,48,1,0,1,0,9,0,0,0,0,0,0
9,10,abs_ret_ge,CA,ORCL.V,2025,251,2025-01-02,2025-12-31,0.0149999996647238,0.0299999993294477,0.0342828685091251,0.1000000014901161,251,1.0,250,39,39,78,88,131,207,14,17,31,39,52,141,4,0,4,13,24,44,0,0,0,3,5,0,0,0,0,0,1
10,10,abs_ret_ge,CA,VRR.V,2025,251,2025-01-02,2025-12-31,0.1500000059604644,0.25,0.2795816751352819,0.75,251,1.0,0,45,40,85,88,87,0,33,9,42,41,71,0,9,0,9,11,20,0,0,0,0,1,2,0,0,0,0,0,0
1,10,abs_ret_ge,CN,300344.SZ,2025,243,2025-01-02,2025-12-31,1.0199999809265137,4.96999979019165,5.821522635687526,14.279999732971191,122,0.5020576131687243,0,2,7,9,33,62,0,0,2,2,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,abs_ret_ge,CN,688585.SS,2025,243,2025-01-02,2025-12-31,6.074306964874268,7.996177673339844,49.94054891248789,132.1300048828125,0,0.0,0,11,3,14,31,38,0,5,1,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,abs_ret_ge,CN,301357.SZ,2025,243,2025-01-02,2025-12-31,27.38999938964844,80.0,87.32000033845627,185.509994506836,0,0.0,0,0,2,2,29,60,0,0,0,0,4,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,10,abs_ret_ge,CN,688205.SS,2025,243,2025-01-02,2025-12-31,34.656253814697266,68.6466293334961,81.05747624777963,174.5500030517578,0,0.0,0,2,0,2,27,69,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,abs_ret_ge,CN,688313.SS,2025,243,2025-01-02,2025-12-31,13.777548789978027,38.04999923706055,47.63969366050061,109.0,0,0.0,0,2,1,3,25,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,abs_ret_ge,CN,688228.SS,2025,243,2025-01-02,2025-12-31,39.82603073120117,63.82939910888672,101.03875313276126,231.8000030517578,0,0.0,0,4,0,4,24,47,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_ret_ge,CN,605188.SS,2025,243,2025-01-02,2025-12-31,6.574718952178955,11.949999809265137,13.847921805126678,27.229999542236328,0,0.0,0,1,0,1,22,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
