rank,market,symbol,n_days_total,start_date,end_date,min_close_all,median_close_all,mean_close_all,max_close_all,penny_days_total,penny_day_ratio_total,one_tick_pct_max,one_tick_pct_median
1,AU,ROG.AX,1519,2020-01-02,2025-12-31,0.0008329999982379,0.0049999998882412,0.0049690605991,0.0140000004321336,1519,1.0,1.200480194616286,0.2000000044703521
2,AU,XRG.AX,1519,2020-01-02,2025-12-31,0.0009899999713525,0.0340000018477439,0.0338133883833733,0.086216002702713,1519,1.0,1.0101010393301713,0.029411763107488
3,AU,1TT.AX,1202,2020-01-03,2025-12-30,0.0010000000474974,0.4000000059604645,0.5465004240289933,3.5999999046325684,1033,0.8594009983361065,0.9999999525026024,0.0124999998137354
4,AU,WEL.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0099999997764825,0.0114776169251401,0.0590000003576278,1519,1.0,0.9999999525026024,0.100000002235175
5,AU,FAU.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0070000002160668,0.0081655694895415,0.0309999994933605,1519,1.0,0.9999999525026024,0.1428571384476164
6,AU,CT1.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0040000001899898,0.0095924951230838,0.0450000017881393,1519,1.0,0.9999999525026024,0.249999988125638
7,AU,ERA.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0423640012741088,0.0434965069344882,0.1245269998908042,1519,1.0,0.9999999525026024,0.0243421532361039
8,AU,ICU.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0260000005364418,0.0283969716735918,0.1000000014901161,1519,1.0,0.9999999525026024,0.0384615376679855
9,AU,IS3.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0219999998807907,0.0302710540172992,0.25,1519,1.0,0.9999999525026024,0.0476190482610478
10,AU,JAY.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.129489004611969,0.1098651523279409,0.369284987449646,1519,1.0,0.9999999525026024,0.0359502732502725
1,CA,MON.V,1506,2020-01-02,2025-12-31,0.004615387879312,0.0784615948796272,0.1057783773244366,0.550000011920929,1506,1.0,2.1666651344351724,0.1274508887480763
