market,timeframe,ret_col,n_symbols,n_period_returns,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,positive_ratio,negative_ratio,gt_10_ratio,gt_20_ratio,gt_50_ratio,gt_100_ratio,lt_m10_ratio,lt_m20_ratio,lt_m50_ratio,iqr,p95_p05_spread
ca,W,close,1892,525571,0.9869856562527006,50.06947161962856,-99.66666662995833,-29.545455007267357,-16.666663562257998,-11.11111663005947,-4.347828340440199,0.0,3.5398196479485797,12.50000698491944,20.83332919412206,50.00000000000024,31899.99743398053,0.365539575052657,0.3975790140628003,0.12750132712801887,0.052950029586868376,0.01026883142334718,0.0020891563651723555,0.11691664874964562,0.032686354460196625,0.0013604251376122352,7.887647988388779,37.49999275638006
ca,W,high,1892,525571,7.605998978957806,52.44906823912758,-94.99999992549421,-9.09090724365766,-0.50437293232771,0.0,0.0,2.92774000460409,9.37500058207658,19.999995529651677,30.296281003100077,66.66666004392864,31899.99743398053,0.665843435044932,0.059972867604947765,0.23274876277420178,0.09769374642055974,0.01944171196660394,0.004123134647840159,0.008291933915684084,0.00259527257021411,0.00015411809251271474,9.37500058207658,30.800653935427786
ca,W,low,1892,525571,-5.966567539253973,40.65771264830588,-99.99140376575389,-35.883033139544644,-22.22222774117059,-16.66666666666667,-9.67741966495652,-3.66678111731054,0.0,0.0,0.34189364644392,9.09090724365766,27174.996922781338,0.05889974903485923,0.6971236997475128,0.008461273548198055,0.003150858780259946,0.0007135096875588645,0.00022642040751867968,0.2349064160693798,0.07028546095579855,0.003276436485270306,9.67741966495652,22.564121387614513
ca,M,close,1883,120843,2.962865427050028,37.359645637218115,-98.0000000447035,-44.87838757009655,-28.571423503006248,-20.83333255723114,-10.0000023841858,0.0,9.09090724365766,26.92307974459868,44.44443340654771,100.00000000000017,4633.333296080453,0.4094651738205771,0.4535802653029137,0.23429573909949272,0.1369545608765092,0.04134289946459456,0.010749484868796703,0.2508047632051505,0.11217861191794312,0.006198124839667999,19.09090962784346,73.01585690955396
ca,M,high,1883,120843,19.744372936155973,51.98604909476903,-67.21323096886064,-3.70371106230152,0.0,0.0,2.27272511760063,9.72972560573266,23.63636225708263,47.26872894671757,68.75001047737916,149.9999962747098,7899.999880790721,0.816836722027755,0.02480904975877792,0.4890063967296409,0.29151874746572,0.09102720058257409,0.02463527055766573,0.003624537623197041,0.0011668032074675404,4.965120031776768e-05,21.363637139482,68.75001047737916
ca,M,low,1883,120843,-12.773038543941457,14.848340664837679,-99.99140376575389,-53.48837179513191,-37.50000093132256,-30.370371776680198,-19.99999880790711,-9.99999776482593,-2.43902208548367,0.0,0.0,4.255323743000067,1199.9999813735542,0.03258773780856152,0.8229686452669993,0.004493433628757975,0.0014978112095859917,0.00040548480259510275,0.00019860480127107072,0.4956679327722748,0.2479994703871966,0.017270342510530192,17.56097672242344,37.50000093132256
ca,Y,close,1806,9886,38.28054123360214,208.85150804482512,-99.2857142750706,-85.71428461190385,-69.99999860922495,-59.25925942959715,-34.77652863130053,0.0,45.70350411533639,146.4285695279131,250.0000093132261,680.6315936243091,7979.999803304685,0.478353226785353,0.483916649807809,0.42110054622698767,0.35848674893789195,0.23457414525591747,0.1436374671252276,0.427068581832895,0.3554521545620069,0.15314586283633422,80.48003274663692,320.000007922451
ca,Y,high,1806,9886,120.59470943162277,316.83848954633976,-47.368419291460114,0.0,0.6842625686510251,5.68230616422867,19.07445779371272,49.80934801937052,118.40740938085942,265.30100103166103,425.00000776102195,1066.6666728754856,8800.000055879429,0.9532672466113696,0.007687639085575561,0.8443253085170949,0.7389237305280194,0.4910985231640704,0.28929799716771193,0.0007080720210398543,0.00040461258345134534,0.0,99.3329515871467,424.3157451923709
ca,Y,low,1806,9886,-37.04223377090322,25.623522570658523,-99.9913586919617,-92.00000017881396,-80.0000007450581,-72.41379292626445,-57.142858283252174,-35.62117143939804,-15.097736150884673,-2.36355706499868,0.0,0.7983984680305535,100.00000000000048,0.016083350192190978,0.9251466720615011,0.0014161440420797087,0.000606918875177018,0.00020230629172567267,0.00010115314586283633,0.8103378515071818,0.6940117337649201,0.33451345336839977,42.0451221323675,80.0000007450581
